,Total Views,Away Team,Home Team,Date,Month,All Star,Wins,Win Difference,Guess,MAPE
21600047,45160,HOU,CLE,11/1/2016,11,4,5,1,47075.79477018224,0.04242238197923475
21600052,12816,MEM,MIN,11/1/2016,11,1,2,2,12846.288899867437,0.002363366094525364
21600051,14356,MIL,NOP,11/1/2016,11,2,1,1,16351.588482056884,0.13900727793653417
21600046,21285,ORL,PHI,11/1/2016,11,0,0,0,16417.202782254477,0.2286961342610065
21600062,10241,DAL,UTA,11/2/2016,11,1,2,2,11056.804212115014,0.07966060073381641
21600057,12283,DET,BKN,11/2/2016,11,0,4,2,11490.594669405435,0.06451236103513518
21600058,22497,HOU,NYK,11/2/2016,11,2,3,1,24347.968913493547,0.08227625521151918
21600059,22293,LAL,ATL,11/2/2016,11,1,4,2,18820.425056898257,0.15576974579920796
21600060,11902,NOP,MEM,11/2/2016,11,2,2,2,11636.226351826868,0.022330167045297576
21600064,32263,OKC,LAC,11/2/2016,11,2,6,0,27663.149359573716,0.14257355609913164
21600056,12396,PHI,CHA,11/2/2016,11,1,2,2,17580.339287019717,0.4182267898531556
21600055,18661,TOR,WAS,11/2/2016,11,3,2,2,17480.39517800256,0.0632658926101195
21600068,35052,BOS,CLE,11/3/2016,11,4,7,1,54320.65991577046,0.5497164189139125
21600067,15912,DEN,MIN,11/3/2016,11,0,2,0,14415.760903640517,0.09403212018347679
21600065,19494,SAC,ORL,11/3/2016,11,1,3,1,10251.26129340998,0.4741324872571058
21600070,21556,ATL,WAS,11/4/2016,11,2,3,3,13419.261451214988,0.37746977865953846
21600072,12057,CHA,BKN,11/4/2016,11,1,5,1,11514.373276794357,0.045005119283871894
21600078,50226,GSW,LAL,11/4/2016,11,4,6,2,50718.29827298324,0.009801661947661302
21600074,11167,LAC,MEM,11/4/2016,11,2,6,0,12007.172505879023,0.075237083001614
21600071,16590,MIA,TOR,11/4/2016,11,2,5,1,16485.363925107635,0.006307177510088324
21600075,19451,PHX,NOP,11/4/2016,11,1,1,1,12646.938725639073,0.34980521692257094
21600076,12324,POR,DAL,11/4/2016,11,0,2,2,13001.05807711185,0.05493817568255837
21600077,18885,SAS,UTA,11/4/2016,11,2,7,1,17427.72847302601,0.0771655561013497
21600083,17387,CHI,IND,11/5/2016,11,2,5,1,14889.888066916987,0.14361948197406185
21600080,54229,CLE,PHI,11/5/2016,11,3,5,5,46436.241662950495,0.14370094113941811
21600084,19454,HOU,ATL,11/5/2016,11,2,6,0,17382.581962622207,0.10647774428795069
21600086,35096,LAC,SAS,11/5/2016,11,2,9,1,21091.276425326014,0.39904044833240215
21600079,34055,MIN,OKC,11/5/2016,11,1,5,3,29596.377363552412,0.1309241707957007
21600085,14313,SAC,MIL,11/5/2016,11,2,5,1,13135.105976688097,0.08229539742275574
21600081,13713,WAS,ORL,11/5/2016,11,1,3,1,12848.54912439876,0.06303878623213302
21600091,13062,DEN,BOS,11/6/2016,11,1,5,1,19650.586310742372,0.5044086901502352
21600090,19651,MIL,DAL,11/6/2016,11,1,4,4,13398.605800534027,0.3181718080233053
21600092,23222,PHX,LAL,11/6/2016,11,0,5,1,17858.157378391716,0.23098107921833969
21600088,22621,POR,MEM,11/6/2016,11,1,6,0,11666.155216365865,0.4842776527843214
21600089,19734,SAC,TOR,11/6/2016,11,3,6,2,13946.796385086278,0.293260546007587
21600087,32867,UTA,NYK,11/6/2016,11,2,5,1,15918.170774183667,0.5156792291908703
21600098,14044,DET,LAC,11/7/2016,11,1,9,1,14072.217890723454,0.0020092488410320295
21600094,20057,HOU,WAS,11/7/2016,11,2,4,2,20780.21111881884,0.03605779123591959
21600095,13954,IND,CHA,11/7/2016,11,2,7,1,12104.663030884243,0.132530956651552
21600097,21952,MIA,OKC,11/7/2016,11,1,7,3,25454.86176539902,0.15956914018763751
21600099,42524,NOP,GSW,11/7/2016,11,5,4,4,35918.107167273236,0.15534504827219367
21600100,44960,ATL,CLE,11/8/2016,11,4,10,2,30400.191529946413,0.32383915636240185
21600104,24491,DAL,LAL,11/8/2016,11,0,5,3,18311.09602944634,0.2523336723920485
21600102,16643,DEN,MEM,11/8/2016,11,1,6,0,9601.094844044463,0.4231151328459735
21600101,18683,MIN,BKN,11/8/2016,11,0,3,1,14721.00685849347,0.2120640765137574
21600105,9374,NOP,SAC,11/8/2016,11,2,3,3,12712.67896510124,0.35616374707715387
21600103,16491,PHX,POR,11/8/2016,11,0,6,2,12679.467184995934,0.23112805863829156
21600106,23224,BKN,NYK,11/9/2016,11,1,5,1,15730.234338724866,0.3226733405647233
21600107,11471,BOS,WAS,11/9/2016,11,2,4,2,23978.241613846265,1.0903357696666607
21600111,19354,CHI,ATL,11/9/2016,11,2,9,1,14157.456582219853,0.2684997115728091
21600116,30939,DAL,GSW,11/9/2016,11,4,7,3,29431.547862381907,0.048723363315494775
21600114,30160,HOU,SAS,11/9/2016,11,2,9,1,26656.944262856396,0.1161490629026394
21600109,10826,MIN,ORL,11/9/2016,11,0,4,2,14088.643989245169,0.30137114254989555
21600110,18285,PHI,IND,11/9/2016,11,1,3,3,18033.494107536288,0.013754765789647929
21600115,14308,POR,LAC,11/9/2016,11,1,11,1,16372.222065443839,0.14427048262816877
21600108,9833,UTA,CHA,11/9/2016,11,2,10,0,11651.940856754405,0.1849833069006819
21600118,33327,CHI,MIA,11/10/2016,11,1,6,2,15961.29779757753,0.5210700693858574
21600120,21465,LAL,SAC,11/10/2016,11,1,8,0,17950.986130699064,0.16370900858611395
21600117,19504,NOP,MIL,11/10/2016,11,2,4,4,16351.588482056884,0.1616289744638595
21600127,18795,DET,SAS,11/11/2016,11,1,9,1,17613.46449488827,0.0628643524933083
21600121,26058,IND,PHI,11/11/2016,11,1,4,4,18033.494107536288,0.3079478813594179
21600126,34404,LAC,OKC,11/11/2016,11,2,13,1,27663.149359573716,0.19593217766615173
21600125,26413,NYK,BOS,11/11/2016,11,2,6,0,28095.069779413818,0.06368340511921469
21600128,19891,SAC,POR,11/11/2016,11,1,9,1,12745.376511124356,0.3592390271417045
21600123,18236,TOR,CHA,11/11/2016,11,3,11,1,14992.330293003144,0.1778717759923698
21600124,8935,UTA,ORL,11/11/2016,11,1,8,2,10881.03436054911,0.21779903307768447
21600139,9926,BKN,PHX,11/12/2016,11,0,6,0,10655.993772756998,0.0735435999150713
21600135,17917,LAC,MIN,11/12/2016,11,1,10,6,18028.415590633093,0.006218428901774433
21600129,31346,LAL,NOP,11/12/2016,11,1,6,4,22346.765878954255,0.28709354051699565
21600137,10469,MEM,MIL,11/12/2016,11,2,8,0,12022.88413949258,0.14842717924277202
21600131,28280,NYK,TOR,11/12/2016,11,3,9,3,20481.607042199328,0.2757564695120464
21600136,7971,UTA,MIA,11/12/2016,11,1,8,4,12812.31681155482,0.6073663042974307
21600144,13463,DEN,POR,11/13/2016,11,0,9,3,13091.446531739166,0.02759811841794801
21600142,27046,LAL,MIN,11/13/2016,11,0,8,4,24670.627897649694,0.08782711315352754
21600141,28191,ORL,OKC,11/13/2016,11,1,9,3,21617.887661234206,0.23316350391138282
21600143,39426,PHX,GSW,11/13/2016,11,4,10,4,28703.536520745147,0.2719642743178322
21600152,13046,BKN,LAC,11/14/2016,11,1,13,5,13759.43435399334,0.054686061167663634
21600146,21157,DAL,NYK,11/14/2016,11,1,5,1,15297.705997426072,0.27694351763359304
21600151,12146,MEM,UTA,11/14/2016,11,2,11,3,9921.530491628762,0.18314420454233804
21600150,15588,MIA,SAS,11/14/2016,11,1,9,5,19407.606808755852,0.24503507882703698
21600145,14038,ORL,IND,11/14/2016,11,1,8,0,11303.803888222583,0.19477105796961228
21600154,19854,ATL,MIA,11/15/2016,11,1,9,5,12655.4008863503,0.36257676607483125
21600157,25781,BKN,LAL,11/15/2016,11,0,10,2,18828.825157873307,0.26966272999987173
21600155,16568,CHA,MIN,11/15/2016,11,1,9,3,15086.805268232678,0.08940093745577753
21600156,18934,CHI,POR,11/15/2016,11,1,13,1,16853.34376664566,0.10988994577766667
21600153,40979,TOR,CLE,11/15/2016,11,5,15,1,39600.343384196865,0.033643002899122344
21600161,11430,DAL,BOS,11/16/2016,11,1,7,3,19514.91099596012,0.7073412944846998
21600165,39188,GSW,TOR,11/16/2016,11,6,15,1,39404.95379257605,0.005536230289273562
21600164,30143,HOU,OKC,11/16/2016,11,2,12,0,34963.034751550345,0.1599056083186924
21600167,21758,MEM,LAC,11/16/2016,11,2,15,5,12007.172505879023,0.4481490713356456
21600159,8359,NOP,ORL,11/16/2016,11,1,6,2,12761.557187994857,0.526684673764189
21600166,6777,PHX,DEN,11/16/2016,11,0,6,0,10435.037487270612,0.5397723900355043
21600168,14713,SAS,SAC,11/16/2016,11,2,12,4,16419.04550686252,0.11595497226007746
21600158,15267,WAS,PHI,11/16/2016,11,1,3,1,20497.89939886058,0.3426278508456527
21600173,17728,CHI,UTA,11/17/2016,11,2,14,0,14332.996687040864,0.19150515077612454
21600169,23430,NYK,WAS,11/17/2016,11,2,7,3,18796.503382454728,0.1977591386062856
21600172,12168,PHI,MIN,11/17/2016,11,0,5,1,22476.28151333569,0.8471631749947147
21600171,15024,POR,HOU,11/17/2016,11,1,13,1,20692.603058086275,0.37730318544237723
21600174,18471,ATL,CHA,11/18/2016,11,2,16,2,11509.236371152156,0.3769023674326157
21600175,22137,DET,CLE,11/18/2016,11,3,15,3,31105.134616221138,0.40511969174780404
21600179,31186,GSW,BOS,11/18/2016,11,5,15,3,54052.63972578012,0.7332341347328969
21600183,14178,LAC,SAC,11/18/2016,11,2,14,6,13117.940879679216,0.07476788830023869
21600180,7881,MEM,DAL,11/18/2016,11,1,8,4,9534.805139268177,0.20984711829313252
21600177,9482,POR,NOP,11/18/2016,11,1,9,5,15866.423318445692,0.673320324662064
21600182,26190,SAS,LAL,11/18/2016,11,1,16,2,28861.93908498739,0.10202134726946883
21600181,15187,TOR,DEN,11/18/2016,11,2,11,3,14325.488070520967,0.05672693286883736
21600188,15869,BOS,DET,11/19/2016,11,1,12,0,20522.838509097222,0.29326602237678634
21600185,22051,CHA,NOP,11/19/2016,11,2,11,5,13665.696170736208,0.3802686422050606
21600187,9890,DAL,ORL,11/19/2016,11,0,7,3,10456.909085655137,0.05732144445451339
21600191,37770,GSW,MIL,11/19/2016,11,5,15,5,37111.62261072776,0.017431225556585606
21600186,12463,MIA,WAS,11/19/2016,11,1,6,0,15129.047156350922,0.21391696672959334
21600190,13000,MIN,MEM,11/19/2016,11,1,11,3,12846.288899867437,0.011823930779427918
21600189,11301,PHX,PHI,11/19/2016,11,0,6,2,16269.7509853174,0.4396735674115034
21600184,23656,UTA,HOU,11/19/2016,11,2,14,0,17598.110807231955,0.25608256648495287
21600193,26525,ATL,NYK,11/20/2016,11,2,14,4,15723.216611612388,0.4072302879693727
21600198,29265,CHI,LAL,11/20/2016,11,1,15,1,23736.77544534705,0.1889022571212352
21600195,33431,IND,OKC,11/20/2016,11,2,14,2,23746.1920235058,0.2896954316800036
21600194,17475,POR,BKN,11/20/2016,11,0,11,3,13368.650844692074,0.23498421489601864
21600197,7274,UTA,DEN,11/20/2016,11,1,11,3,11133.675451357405,0.5306125173711033
21600205,16458,BOS,MIN,11/21/2016,11,1,11,3,26292.53360164054,0.5975533844720222
21600202,29362,GSW,IND,11/21/2016,11,5,18,4,31815.18003437421,0.08354948690055891
21600199,17913,MIA,PHI,11/21/2016,11,0,7,1,19331.103664961563,0.07916617344730438
21600204,9893,ORL,MIL,11/21/2016,11,1,11,1,13185.608364062335,0.33282203215024103
21600200,10283,PHX,WAS,11/21/2016,11,1,7,1,12733.149340309186,0.2382718409325281
21600207,24465,TOR,LAC,11/21/2016,11,3,20,4,17915.519978469318,0.26770815538649834
21600210,23234,CHI,DEN,11/22/2016,11,1,14,4,13870.083925838271,0.4030264299802758
21600209,15326,NOP,ATL,11/22/2016,11,2,13,5,13328.40546993266,0.1303402407717173
21600211,36747,OKC,LAL,11/22/2016,11,1,15,1,37855.08831301485,0.030154524533019034
21600208,29689,POR,NYK,11/22/2016,11,1,14,2,18717.25850854685,0.3695557779464836
21600216,7431,ATL,IND,11/23/2016,11,2,16,2,11805.901063278037,0.5887365177335536
21600221,5940,DEN,UTA,11/23/2016,11,1,13,1,11133.675451357405,0.8743561365921557
21600223,36581,LAL,GSW,11/23/2016,11,4,20,4,50718.29827298324,0.38646560435699506
21600212,21969,MEM,PHI,11/23/2016,11,1,13,5,14969.512327058803,0.31860747748833346
21600218,6105,MIA,DET,11/23/2016,11,0,10,2,12948.864082135744,1.1210260576798925
21600222,14783,MIN,NOP,11/23/2016,11,1,9,1,17471.450874441594,0.18186098048038926
21600224,14319,OKC,SAC,11/23/2016,11,2,13,3,21535.088680198493,0.5039519994551639
21600214,6173,PHX,ORL,11/23/2016,11,0,10,2,10198.24962104194,0.652073484698192
21600215,35224,POR,CLE,11/23/2016,11,3,18,2,36189.04818465084,0.02739746152199753
21600213,22375,SAS,CHA,11/23/2016,11,2,19,3,17649.913753523928,0.21117703894865128
21600219,14694,TOR,HOU,11/23/2016,11,3,17,1,22643.15387439927,0.5409795749557147
21600231,6643,ATL,UTA,11/25/2016,11,2,18,2,11364.352778679602,0.7107259940809276
21600234,4767,BKN,IND,11/25/2016,11,1,11,3,11811.17037896741,1.4776946463116027
21600228,27379,CHA,NYK,11/25/2016,11,2,15,1,16121.110775455194,0.41118701283994324
21600227,25988,DAL,CLE,11/25/2016,11,3,13,9,29577.484288240183,0.138120836087432
21600238,35529,GSW,LAL,11/25/2016,11,4,21,5,50718.29827298324,0.42751831667041673
21600239,9249,HOU,SAC,11/25/2016,11,2,15,3,16579.56644355388,0.7925793538278602
21600230,17516,LAC,DET,11/25/2016,11,1,21,7,14072.217890723454,0.19660779340468978
21600233,6767,MIA,MEM,11/25/2016,11,1,14,6,11048.66667050957,0.6327274524175515
21600236,10789,MIN,PHX,11/25/2016,11,0,9,1,13962.106240995725,0.2941056855126263
21600237,11599,NOP,POR,11/25/2016,11,1,14,2,15866.423318445692,0.36791303719680074
21600235,23764,OKC,DEN,11/25/2016,11,1,14,2,22119.82217763525,0.06918775552788878
21600225,28987,SAS,BOS,11/25/2016,11,2,21,3,30759.39154644813,0.06114435941795042
21600232,15468,TOR,MIL,11/25/2016,11,3,15,3,17938.96280697538,0.15974675504107716
21600226,14862,WAS,ORL,11/25/2016,11,1,10,2,12848.54912439876,0.13547644163647155
21600243,16264,MEM,MIA,11/26/2016,11,1,15,5,11048.66667050957,0.3206673222756044
21600244,38532,MIN,GSW,11/26/2016,11,4,19,9,39653.26622704877,0.029099611415155477
21600241,28648,NYK,CHA,11/26/2016,11,2,16,0,16121.110775455196,0.4372692412924045
21600240,19953,SAS,WAS,11/26/2016,11,2,18,8,20579.0201549421,0.03137473838230341
21600252,18956,ATL,LAL,11/27/2016,11,1,18,2,18820.425056898253,0.007152086046726451
21600245,34859,CLE,PHI,11/27/2016,11,3,16,8,46436.241662950495,0.3321162874135946
21600251,14172,HOU,POR,11/27/2016,11,1,19,1,20692.603058086275,0.46010464705660986
21600249,15987,LAC,IND,11/27/2016,11,2,22,6,14464.818218663035,0.09521372248307783
21600248,8776,MIL,ORL,11/27/2016,11,1,12,0,13185.608364062335,0.5024622110371849
21600247,9640,SAC,BKN,11/27/2016,11,1,10,2,10711.384851778217,0.11113950744587314
21600259,37234,ATL,GSW,11/28/2016,11,5,25,5,30250.195835449453,0.18756524049391812
21600256,11282,BOS,MIA,11/28/2016,11,1,14,4,22613.33541165313,1.0043729313643972
21600257,5784,CHA,MEM,11/28/2016,11,2,20,2,10048.019611462312,0.7372094763938991
21600255,30631,OKC,NYK,11/28/2016,11,2,18,2,31625.415026377894,0.03246433437948137
21600254,9669,PHI,TOR,11/28/2016,11,2,14,6,22335.532951829715,1.3100147845516306
21600253,16111,SAC,WAS,11/28/2016,11,2,12,2,12799.337712444054,0.2055528699370583
21600258,14293,UTA,MIN,11/28/2016,11,1,14,4,14896.885583233061,0.042250443100333095
21600262,30876,CLE,MIL,11/29/2016,11,4,20,6,37295.6407122199,0.2079168516718455
21600260,13483,DET,CHA,11/29/2016,11,1,18,2,11776.121420220123,0.12659486611139045
21600265,13192,HOU,UTA,11/29/2016,11,2,21,1,17598.110807231955,0.3339986967277103
21600263,14674,LAL,NOP,11/29/2016,11,1,15,3,22346.765878954255,0.5228816872668839
21600264,14272,ORL,SAS,11/29/2016,11,1,20,8,16482.174117927738,0.15486085467543007
21600274,9606,ATL,PHX,11/30/2016,11,1,15,5,10651.239815835619,0.10881114052005196
21600267,14636,DET,BOS,11/30/2016,11,1,19,1,20522.838509097222,0.40221635071721934
21600275,9376,IND,POR,11/30/2016,11,1,18,0,14054.00100921478,0.4989335547370713
21600269,27306,LAL,CHI,11/30/2016,11,1,19,1,23736.77544534705,0.13071209824408367
21600268,12089,MEM,TOR,11/30/2016,11,3,22,0,12765.8442461433,0.055988439585019485
21600273,7407,MIA,DEN,11/30/2016,11,0,12,2,12398.517444810968,0.6738919191050315
21600271,23718,NYK,MIN,11/30/2016,11,1,13,3,20610.672989931012,0.13101134202162862
21600272,14271,SAS,DAL,11/30/2016,11,1,17,11,16748.42355729127,0.17359845541947092
21600270,23238,WAS,OKC,11/30/2016,11,2,17,5,26991.278135080513,0.16151468005338293
21600281,51648,HOU,GSW,12/1/2016,12,5,27,5,38558.85942218066,0.2534297664540609
21600279,41615,LAC,CLE,12/1/2016,12,4,27,1,30659.481635024407,0.26325888177281254
21600280,13560,MIA,UTA,12/1/2016,12,1,17,5,10546.353307030698,0.222245331339919
21600277,12311,MIL,BKN,12/1/2016,12,1,13,3,11340.785589733705,0.07880874098499675
21600278,12176,ORL,MEM,12/1/2016,12,1,18,4,7723.729072869173,0.3656595702308498
21600286,46093,CLE,CHI,12/2/2016,12,4,23,3,31560.455363773355,0.3152874544123109
21600288,5376,DET,ATL,12/2/2016,12,1,20,0,9454.168916565948,0.7585879681112255
21600290,13327,HOU,DEN,12/2/2016,12,1,19,5,14017.894388938788,0.05184170397979953
21600284,14877,LAL,TOR,12/2/2016,12,2,22,2,20180.257661623455,0.35647359424772834
21600285,22862,MIN,NYK,12/2/2016,12,1,14,4,16965.50611763314,0.257916800033543
21600282,14635,ORL,PHI,12/2/2016,12,0,11,3,13513.68557314122,0.07661868307883705
21600283,15651,SAC,BOS,12/2/2016,12,2,17,3,15747.629677681383,0.006174025792689498
21600289,22345,WAS,SAS,12/2/2016,12,2,21,9,16939.45134659742,0.24191311941832985
21600293,10938,ATL,TOR,12/3/2016,12,3,23,3,12036.222962139851,0.10040436662459783
21600291,17952,BKN,MIL,12/3/2016,12,1,14,4,11340.785589733705,0.3682717474524451
21600294,17192,BOS,PHI,12/3/2016,12,1,15,7,25219.533709919306,0.46693425488129975
21600296,12441,CHI,DAL,12/3/2016,12,1,14,8,11338.217878262565,0.08864095504681575
21600298,10762,MIA,POR,12/3/2016,12,0,17,3,12400.848311685784,0.15228101762551424
21600303,19669,IND,LAC,12/4/2016,12,2,25,7,11906.59626199816,0.3946516720728985
21600301,25609,NOP,OKC,12/4/2016,12,2,19,5,22067.22278021733,0.13830205083301458
21600300,13916,ORL,DET,12/4/2016,12,0,19,3,9052.08935651695,0.3495193046481065
21600302,23499,SAC,NYK,12/4/2016,12,2,17,3,12344.540490878064,0.4746780505179768
21600311,18199,BOS,HOU,12/5/2016,12,2,25,1,25566.87515206671,0.40485054959430244
21600312,7203,CHA,DAL,12/5/2016,12,1,15,7,9217.349799428872,0.27965428285837457
21600305,34190,CLE,TOR,12/5/2016,12,5,27,1,32596.69726811835,0.04660142532558202
21600307,22026,OKC,ATL,12/5/2016,12,2,23,3,18584.99412391899,0.1562247287787619
21600309,20959,SAS,MIL,12/5/2016,12,2,26,6,17383.828259190606,0.1705793091659618
21600313,14847,UTA,LAL,12/5/2016,12,1,22,2,15683.964010387357,0.05637260122498532
21600306,8450,WAS,BKN,12/5/2016,12,1,11,1,11050.88492967151,0.3077970330972202
21600317,17294,CHI,DET,12/6/2016,12,1,22,0,11923.826582899219,0.3105223439979635
21600316,24024,NYK,MIA,12/6/2016,12,1,18,4,14591.468668601545,0.39262950929897
21600318,13211,PHI,MEM,12/6/2016,12,1,18,10,12322.031070347446,0.06729005598762804
21600320,11534,PHX,UTA,12/6/2016,12,1,19,7,8876.189641441732,0.23043266503886498
21600319,22517,SAS,MIN,12/6/2016,12,1,23,11,18574.385098638002,0.17509503492303582
21600322,12283,BOS,ORL,12/7/2016,12,1,22,2,15808.176801977126,0.2869964016915351
21600327,29581,CLE,NYK,12/7/2016,12,4,26,2,35050.91985723926,0.18491328410936964
21600321,11351,DET,CHA,12/7/2016,12,1,24,0,9693.41758487644,0.1460296374877596
21600330,38097,GSW,LAC,12/7/2016,12,5,34,2,30508.206593344752,0.199196614081299
21600329,6727,IND,PHX,12/7/2016,12,1,16,4,9221.063334319502,0.3707541748653935
21600326,13980,LAL,HOU,12/7/2016,12,1,24,4,23989.73309072609,0.7160037976198921
21600324,9010,MIA,ATL,12/7/2016,12,1,17,3,10417.189252547281,0.15618082714176262
21600325,14175,POR,MIL,12/7/2016,12,1,22,2,13494.294554181175,0.048021548205913575
21600328,5694,SAC,DAL,12/7/2016,12,1,11,3,8574.551010442001,0.5058923446508607
21600332,14510,DEN,WAS,12/8/2016,12,1,15,1,10821.740418378693,0.25418742809244016
21600335,36514,GSW,UTA,12/8/2016,12,5,33,5,25208.940890336642,0.3096088927442449
21600331,25777,MIN,TOR,12/8/2016,12,2,20,8,15777.602104861142,0.38791938143068855
21600334,13993,PHI,NOP,12/8/2016,12,1,11,3,16758.439904083112,0.19763023683864162
21600333,16149,POR,MEM,12/8/2016,12,1,27,3,9602.899807745449,0.40535638072045027
21600336,31486,SAS,CHI,12/8/2016,12,2,29,7,17871.292532597996,0.4324051155244237
21600340,17048,ATL,MIL,12/9/2016,12,2,22,0,11335.726126740587,0.335070030106723
21600342,9466,DET,MIN,12/9/2016,12,0,18,6,12392.9338852331,0.3092049318860237
21600341,43209,HOU,OKC,12/9/2016,12,2,29,1,28779.534771049362,0.33394582677105783
21600343,11289,IND,DAL,12/9/2016,12,1,15,7,9454.938302460929,0.16246449619444336
21600338,33149,MIA,CLE,12/9/2016,12,3,22,8,28212.00350958025,0.14893349695073008
21600345,22565,NYK,SAC,12/9/2016,12,2,20,4,12344.540490878066,0.4529341683634804
21600344,19042,PHX,LAL,12/9/2016,12,0,16,4,14699.795508898333,0.2280330055194658
21600339,21257,TOR,BOS,12/9/2016,12,3,28,2,21506.95575561522,0.01175875032296285
21600353,10809,BKN,SAS,12/10/2016,12,1,24,12,14176.122751645915,0.31151103262521185
21600349,27697,CHA,CLE,12/10/2016,12,4,30,2,25656.9206942897,0.0736570497061162
21600352,10651,DAL,HOU,12/10/2016,12,1,21,11,13921.10937684152,0.30702369513111627
21600347,8331,DEN,ORL,12/10/2016,12,0,18,2,8667.361637813394,0.04037470145401438
21600350,15729,MIA,CHI,12/10/2016,12,1,19,5,13138.411131090019,0.1647014348598119
21600346,15249,MIL,WAS,12/10/2016,12,2,19,3,13551.426514501836,0.11132359403883296
21600354,8920,SAC,UTA,12/10/2016,12,2,22,6,8922.329094253108,0.000261109221200397
21600357,28555,BOS,OKC,12/11/2016,12,2,27,1,33208.64423987316,0.16297125686825983
21600358,36628,GSW,MIN,12/11/2016,12,4,26,14,32640.260271354844,0.10887134783895261
21600359,14981,NOP,PHX,12/11/2016,12,1,14,0,10410.223694489818,0.3051048865569843
21600360,26368,NYK,LAL,12/11/2016,12,1,23,3,21699.639941369845,0.177046422126447
21600356,14610,PHI,DET,12/11/2016,12,0,18,8,14441.227190938858,0.011551869203363568
21600364,20336,BKN,HOU,12/12/2016,12,1,23,11,14314.715735129323,0.29608990287523
